number,title,body,epic
4,Test Superstructure,Set up the superstructure architecture for the robot.,Architecture
11,Implement Snap to Hub Using Localization,Automation feature to automatically align robot to the hub.,Automation
31,Implement FMS API for scoring code,"Integrate with the FMS (Field Management System) API to track scoring events during matches. This includes reading alliance station data, match time, and game-specific information to enable context-aware autonomous and teleoperated behavior. Reference the WPILib DriverStation class for FMS communication.",Automation
117,Implement Turret Subsystem,"Create a new turret subsystem following the AdvantageKit IO layer pattern (TurretIO interface, TurretIOSim for simulation, TurretIOWB for WoodBot hardware). The turret should rotate to aim at the hub/scoring target. Include methods for setting angle setpoints, reading encoder position, and controlling the motor. Add turret CAN ID to Constants.WoodBotConstants.",Subsystems
139,Update motor type and motor controller spreadsheet for Practice Bot,"Document all motor types (NEO, Falcon 500, etc.) and their associated motor controllers (SparkMax, TalonFX) for the practice bot hardware. Create or update a spreadsheet that maps each subsystem to its motors, CAN IDs, and controller types. This helps ensure correct hardware configuration when building practice bot IO implementations.",Subsystems
198,Incorporate Hopper Sensors into Middle Auto Command,"Update the middle autonomous routine to use the indexer and intake sensors (defined in Constants.WoodBotConstants as INDEXER_SENSOR_PORT, INTAKE_SENSOR_PORT, etc.) to detect when game pieces are collected. The auto should wait for sensor confirmation before advancing to the next step. This prevents the robot from attempting to shoot without having a game piece.",Automation
103,Port CommandLogger utility from RainMaker25,Port the [CommandLogger utility class](https://github.com/FRCTeam360/RainMaker25/blob/main/src/main/java/frc/robot/utils/CommandLogger.java) from RainMaker25 to RainMaker26 for logging command start and end events.,Tooling
142,Implement Turret Sim,"Create TurretIOSim class in the subsystems/Turret/ folder following the existing pattern from other subsystems (see FlywheelIOSim as example). Use DCMotorSim to simulate turret rotation physics. Include visualization using Mechanism2d to show turret angle on simulation dashboard. Test that turret can rotate to target angles and track hub position.",Simulations
101,Test Superstructure Subsystem in Sim,"Once the Superstructure class is created (replacing CommandFactory), test it in simulation mode. Verify that the superstructure can coordinate multiple subsystems (intake, indexer, flywheel, hood, turret) together for complex actions like shooting. Check that state machines work correctly and subsystems don't interfere with each other. Use AdvantageScope to analyze logged data.",Simulations
14,Set up unit testing,Implement unit testing to check if code outputs desired results.,Tooling
37,Re-implement simple AprilTag targeting,"Implement a command that uses Vision subsystem data to aim the robot (and/or turret) at AprilTags on the field. Use the VisionMeasurement class and Limelight data (from VisionIOLimelight) to calculate the angle to the target. Create a simple PID controller to rotate the robot/turret to face the AprilTag. Reference WPILib's AprilTag documentation and the FIELD_LAYOUT constant.",Vision
46,Test impact of the bump on localization,We're concerned that going over the bump will negatively impact vision localization and the gyro's stability.  We must test if and how much of an issue it is.,Testing
70,Implement simple implementation of override feedback in pathplanner,"Add steer override functionality to PathPlanner autos using the SwerveRequest system. This allows the robot to automatically adjust its heading while following a path (e.g., to aim at a target while driving). Reference PathPlanner documentation on override feedback. Integrate with the drivetrain's applyRequest method. Test in simulation with FollowPathCommand.",Autos
71,Reimplement PID to Point for Climbing Automation,"Create a command that uses PID control to drive the robot to a specific field position (Pose2d) for climbing alignment. This should use the drivetrain's localization (from Vision and gyro) to calculate distance and angle to target. Use WPILib's PIDController or ProfiledPIDController for smooth motion. The command should finish when the robot is within tolerance of the target position.",Automation
72,Calibrate Limelight Cameras,https://docs.limelightvision.io/docs/docs-limelight/getting-started/performing-charuco-camera-calibration ,Vision
75,Research steer override for autos,Priority: High. Ensure autos are able to incorporate [Steer Override](https://pathplanner.dev/pplib-override-feedback.html),Autos
77,Implement and test localization pose from hub,Priority: High. Successfully get a pose from the hub if present.,Vision
85,Implement defense mode,Create a defense mode for robot operation.,Automation
104,Port RobotUtils utility from RainMaker25,Port the RobotUtils utility class from RainMaker25 to RainMaker26 for USB writability checks.,Tooling
111,Replace Command Factory with Superstructure (after we know it works),"Once Superstructure is tested and working, refactor RobotContainer to use Superstructure instead of CommandFactory. The Superstructure pattern coordinates subsystems better than CommandFactory by managing state and ensuring subsystems work together safely. Update all command bindings in configureBindings() to use superstructure methods. Remove CommandFactory.java after migration is complete.",Commands
121,Test and Tune Flywheel VelocityTorqueCurrentFOC,"Test the flywheel subsystem using CTRE's VelocityTorqueCurrentFOC control mode on real hardware. Run the flywheel at various RPM setpoints and tune the PID constants (kP, kI, kD) in the motor configuration. Verify velocity control is accurate using Phoenix Tuner X. Log flywheel velocity and error to AdvantageKit. Optimal tuning ensures consistent shooting accuracy.",Testing
131,Cleanup Programming Space,"Organize the programming workspace: remove old test code, unused files, and commented-out sections. Ensure all Java files follow proper formatting (run ./gradlew spotlessApply). Update documentation in AGENTS.md and README.md if needed. Clean up log files in the logs/ directory to free up disk space. Verify all vendor dependencies are up to date.",Administration
134,Implement Mechanical Advantage's Shoot on the move solution in Sim,"Study and implement FRC 6328's shoot-on-the-move algorithm in simulation. This advanced feature allows the robot to shoot accurately while driving by calculating the required lead angle and flywheel velocity based on robot velocity and distance to target. Reference the ShotCalculator approach from Mechanical Advantage's 2026 code. Test thoroughly in sim before deploying to real hardware.",Automation
133,Create an intake pivot command and test it using Simulation,"Create a command that controls the IntakePivot subsystem to move between stowed and deployed positions. Use the IntakePivotIOSim implementation for testing. The command should set a target angle (e.g., 0° for stowed, 90° for deployed) and use the pivot's feedback control to reach the setpoint. Add IntakePivotVisualizer to show pivot angle in simulation GUI.",Simulations
154,Run SysID routines on drivetrain,Execute SysID characterization runs on the drivetrain.,Testing
157,Implement controller button bindings,Set up controller button bindings for driver and operator controls.,Commands
158,Test localization accuracy on field,Validate localization code accuracy with real hardware on the field.,Vision
159,Implement full robot simulation,Get full robot simulation working with all subsystems.,Simulations
161,Prepare IOs for practice bot,Set up IO layer configurations for the practice bot.,Architecture
165,Implement automated shooting command routine,Create full automated shooting sequence command.,Commands
166,Implement passing command,Create command for passing game pieces to alliance partners.,Commands
167,Implement shoot modes for different game situations,Create logic for when to shoot vs hold based on game state.,Automation
168,Implement target selection states,Create states for selecting targets based on robot position; match time; and auto winner.,Automation
169,Implement turret auto-tracking of hub,Implement automatic hub tracking with the turret subsystem.,Automation
182,Add Simulated Intake Pivot and Turret to Bulletproof Autos,"Extend bulletproof autonomous routines to include simulated IntakePivot and Turret movements. Register named commands in Autos.java that control these subsystems (e.g., 'pivotDown', 'turretAimHub'). Test that autos correctly coordinate drivetrain, intake pivot, turret, and shooter subsystems together. Use PathPlanner's command markers to trigger subsystem actions at specific path points.",Simulations
