title,body,labels,assignee,milestone,epic
"Implement Superstructure","Set up the superstructure architecture for the robot.","enhancement","","Week 2","Architecture"
"Create multiple drivetrain constant classes","Create separate constant classes for: old comp; woodbot; practice; and comp robots.","enhancement","","Week 1","Architecture"
"Ask CAD for speculative motor types on robot","Needed for configs and subsystem setup.","question","","Week 1","Architecture"
"Implement Flywheel subsystem","Configuration: 2 motors","enhancement","","Week 1","Subsystems"
"Implement Hood subsystem","Controls angle of shot. Configuration: 1 motor","enhancement","","Week 2","Subsystems"
"Implement Intake subsystem","Configuration: 1 motor to spin roller; 1 motor to deploy/retract pivot","enhancement","","Week 1","Subsystems"
"Implement Indexer subsystem","Configuration: 1 motor","enhancement","","Week 1","Subsystems"
"Implement Snap to Hub","Automation feature to automatically align robot to the hub.","enhancement","","Week 3","Automation"
"Set up robot configs for Pathplanner","Correctly configure robot parameters for Pathplanner.","enhancement","","Week 2","Autos"
"Determine trench vs bump route for Bulletproof auto","Decide whether Bulletproof auto should go under trench or over bump. Determine which route is faster.","question","","Week 2","Autos"
"Set up unit testing","Implement unit testing to check if code outputs desired results.","enhancement","","Week 3","Tooling"
"Set up woodbot drivetrain","Woodbot needs to be able to drive.","enhancement","","Week 1","Testing/Prototyping"
"Implement WPILib logging","Priority: High. Try WPILib's built-in logging first.","enhancement","","Week 2","Logging"
"Evaluate AdvantageKit as logging alternative","If WPILib logging doesn't meet our needs; evaluate AdvantageKit as an alternative.","enhancement","","Week 2","Logging"
"Implement QuestNav","Lower priority - to be done later.","enhancement","","Week 3","Vision"
"Determine practice field status","Is the practice field under construction?","question","","Week 1","Administration"
"Procure ThinkPad chargers","Need to buy more ThinkPad chargers.","enhancement","","Week 1","Administration"
"Determine charger storage location","Where are the laptop chargers going to be stored?","question","","Week 1","Administration"
"Set up GitHub tickets for work tracking","Point-people: Emma & James","documentation","","Week 1","Administration"
"Determine 2025 bot availability timeline","How long do we have access to the 2025 bots?","question","","Week 1","Administration"
"Ask CAD about limelight spot in design","Priority: High. Ask CAD if they are designing with a limelight mounting spot in mind. Owner: Mr. James","question","","Week 1","Administration"
"Set up controller button mapping","","enhancement","","Week 2","Architecture"
"Implement Vision subsystem","","enhancement","","Week 2","Subsystems"
"Implement Drivetrain subsystem","","enhancement","","Week 1","Subsystems"
"Set up Pathplanner","","enhancement","","Week 2","Autos"
"Create Bulletproof auto","","enhancement","","Week 2","Autos"
"Run SysID on Drivetrain","","enhancement","","Week 2","Tooling"
"Implement FMS API for scoring code","","enhancement","","Week 3","Tooling"
"Test motors using REV Hardware Client","","enhancement","","Week 1","Testing/Prototyping"
