"title","body","labels","assignee","milestone","epic"
"Create Simulated Intake Pivot Hardware IO","","","annashimshock","Week 2","Simulations"
"Test Simulated CTRE Motor Controller Configs and Motors","","","DelgLe","Week 2","Testing/Prototyping"
"Conversion Factors Accounting for Gear Ratio","","","RaineyRubin","Week 2","Architecture"
"Create Bulletproof auto","","enhancement","Kaleb-Robotics","Week 2","Autos"
"Setup project repository","Create initial repository structure with README and basic configuration files","","JRTaylord","Week 1","Architecture"
"Implement Superstructure","Set up the superstructure architecture for the robot.","enhancement","RaineyRubin","Week 3","Architecture"
"Create multiple drivetrain constant classes","Create separate constant classes for: old comp; woodbot; practice; and comp robots.","enhancement","","Week 2","Architecture"
"Ask CAD for speculative motor types on robot","Needed for configs and subsystem setup.","question","DelgLe","Week 1","Architecture"
"Implement Flywheel subsystem","Configuration: 2 motors","enhancement","RaineyRubin","Week 1","Subsystems"
"Implement Hood subsystem","Controls angle of shot. Configuration: 1 motor","enhancement","coolstuffperson","Week 1","Subsystems"
"Implement Intake subsystem","Configuration: 1 motor to spin roller; 1 motor to deploy/retract pivot","enhancement","Kaleb-Robotics","Week 1","Subsystems"
"Implement Indexer subsystem","Configuration: 1 motor","enhancement","annashimshock","Week 1","Subsystems"
"Implement Snap to Hub Using Localizatio","Automation feature to automatically align robot to the hub.","enhancement","","Week 3","Automation"
"Set up robot configs for Pathplanner","Correctly configure robot parameters for Pathplanner.","enhancement","","Week 2","Autos"
"Determine trench vs bump route for Bulletproof auto","Decide whether Bulletproof auto should go under trench or over bump. Determine which route is faster.","question","","Week 2","Autos"
"Set up unit testing","Implement unit testing to check if code outputs desired results.","enhancement","","Week 3","Tooling"
"Set up woodbot drivetrain","Woodbot needs to be able to drive.","enhancement","27MahoneyKeirnan","Week 1","Testing/Prototyping"
"Implement WPILib logging","Priority: High. Try WPILib's built-in logging first.","enhancement","","Week 2","Logging"
"Evaluate AdvantageKit as logging alternative","If WPILib logging doesn't meet our needs; evaluate AdvantageKit as an alternative.","enhancement","","Week 2","Logging"
"Implement QuestNav","Lower priority - to be done later.","enhancement","irosenbery","Week 3","Vision"
"Determine practice field status","Is the practice field under construction?","question","JRTaylord","Week 1","Administration"
"Procure ThinkPad chargers","Need to buy more ThinkPad chargers.","enhancement","JRTaylord","Week 1","Administration"
"Determine charger storage location","Where are the laptop chargers going to be stored?","question","JRTaylord","Week 1","Administration"
"Set up GitHub tickets for work tracking","Point-people: Emma & James","documentation","JRTaylord","Week 1","Administration"
"Determine 2025 bot availability timeline","How long do we have access to the 2025 bots?","question","JRTaylord","Week 1","Administration"
"Ask CAD about limelight spot in design","Priority: High. Ask CAD if they are designing with a limelight mounting spot in mind. Owner: Mr. James","question","JRTaylord","Week 1","Administration"
"Set up controller button mapping","","enhancement","Kaleb-Robotics","Week 2","Architecture"
"Implement Vision subsystem","","enhancement","JRTaylord","Week 2","Subsystems"
"Implement Drivetrain subsystem","","enhancement","27MahoneyKeirnan","Week 1","Subsystems"
"Set up Pathplanner","","enhancement","27MahoneyKeirnan","Week 2","Autos"
"Run SysID on Drivetrain","","enhancement","","Week 2","Tooling"
"Implement FMS API for scoring code","","enhancement","","Week 3","Tooling"
"Test motors using REV Hardware Client (Week 1 Subsystems)","","enhancement","Kaleb-Robotics","Week 1","Testing/Prototyping"
"Determine flywheel motor type","","question","DelgLe","Week 1","Testing/Prototyping"
"Re-map motor IDs on woodbot","","enhancement","27MahoneyKeirnan","Week 1","Testing/Prototyping"
"Implement Drivetrain simulation","","enhancement","DelgLe","Week 3","Simulations"
"Implement Superstructure states simulation","","enhancement","","Week 3","Simulations"
"Re-implement simple AprilTag targeting","","enhancement","","Week 2","Vision"
"Implement localization with limelight and odometry","","enhancement","","Week 3","Vision"
"Obtain campus center access","","question","JRTaylord","Week 1","Administration"
"Locate carpet for campus center","","question","JRTaylord","Week 1","Administration"
"Set up epics for GitHub issues","","documentation","JRTaylord","Week 1","Administration"
"Ask CAD about gear ratios in drive base","","question","","Week 1","Administration"
"Record discussion on making the robot pass to an arbitrary point anywhere on the field","In order to best contribute to our alliance, our robot should be able to pass to any position on the field accurately and reliably without getting penalties.  Jake and Kaleb are discussing this on 1/14  This is great for our open alliance thread","documentation","Kaleb-Robotics","Week 1","Automation"
"Test impact of the bump on localization","We're concerned that going over the bump will negatively impact vision localization and the gyro's stability.  We must test if and how much of an issue it is.","question","DelgLe","Week 3","Testing/Prototyping"
"Remind manufacturing to add in the sensors for ball tracking","","question","DelgLe","Week 2","Testing/Prototyping"
"Test simulated drivetrain by adding in logging for robot's position","Add logging for the robot's position so that simulations can run the drive train","enhancement","DelgLe","Week 2","Simulations"
"IMPORTANT: Fix issues with woodbot RoboRIO","Current roboRIO after being reimaged with a 2026 sd card is failing to connect with any laptop","bug","JRTaylord","Week 1","Testing/Prototyping"
"Implement Intake Pivot Subsystem","","","","Week 3","Subsystems"
"Make a spreadsheet of the motors and motor controllers on each subsystem","","documentation","27MahoneyKeirnan","Week 1","Subsystems"
"Replace TalonFX construtors with new, nondeprecated one","","","","Week 2","Subsystems"
"Deploy and test code for intaking and driving","","","Kaleb-Robotics","Week 1","Testing/Prototyping"
