number,title,body,milestone
176,Merge Vision Simulation Branch into Main,"Integrate the vision simulation branch into main to add Vision subsystem simulation capabilities with PhotonVision support. Start by checking out the vision simulation branch and inspecting the changes (use git diff main to compare). Before merging, resolve any merge conflicts with recent main branch updates, particularly in RobotContainer.java and any shared subsystem files. Run ./gradlew build to verify compilation succeeds, then ./gradlew test to ensure all unit tests pass. Check VS Code for any red squiggles or import errors related to PhotonSim libraries - these indicate classpath or dependency issues that need resolution in build.gradle or vendordeps/. Run a full simulation with ./gradlew simulateJava and verify the Vision subsystem initializes without errors in the console output. Open AdvantageScope and confirm Vision subsystem logging appears with fields like 'Vision/TargetVisible' and 'Vision/RobotPose'. Acceptance criteria: Branch merges cleanly with zero conflicts, gradle build completes without errors, simulation runs without crashes, Vision logging data appears in AdvantageScope at >5Hz update rate, and the Vision subsystem can detect simulated AprilTags in PhotonVision simulation. Test by running simulation, enabling Vision subsystem, and verifying tag detection in AdvantageScope logs.",Week 3
79,Create Vision-Based Target Alignment Commands,"Create vision-based alignment commands in CommandFactory.java that automatically rotate the robot to face detected AprilTags using the Vision subsystem data. Open CommandFactory.java and create two new command factory methods: alignToTargetRotateOnly() and alignToTargetDriveAndRotate(). Both commands should require the Drivetrain and Vision subsystems. In the command's execute() method, get the target bearing from vision.getInputs().targetYaw (the horizontal angle to the AprilTag). Calculate the angle error between the robot's current heading (from drivetrain.getRotation().getDegrees()) and the target bearing. Use drivetrain.applyRequest() with SwerveRequest.FieldCentricFacingAngle to smoothly rotate toward the target - set the target angle to the current heading plus the vision bearing offset. For the drive-and-rotate version, also set forward/strafe velocities to approach the tag. Add timeout logic using withTimeout(3.0) and end condition checking if Math.abs(angleError) < 3.0 degrees. Reference the Vision subsystem's @AutoLogOutput fields for accessing target data. Acceptance criteria: Robot rotates to face AprilTags within ±3° tolerance when tags are visible, commands timeout after 3 seconds if target is lost, rotation is smooth without oscillation, and both commands work in simulation and on real hardware. Test in simulation first by spawning AprilTags in different positions and verifying rotation, then test on practice field with properly mounted tags, monitoring alignment accuracy in AdvantageScope.",Week 3
196,Implement Drivetrain X-Formation Defensive Lock,"Create a defensive X-formation command that locks the swerve modules at 45° angles to prevent the robot from being pushed during defense or when disabled. The X-pattern (front-left: +45°, front-right: -45°, back-left: -45°, back-right: +45°) creates maximum resistance to lateral and rotational pushing. Open CommandFactory.java and add a new xOutCmd() method that returns a command. In the command, use drivetrain.applyRequest() with a SwerveRequest.SwerveDriveBrake request - this CTRE Phoenix 6 request type locks modules at specific angles. Set each module's angle using the SwerveModuleState constructor with zero velocity and the target angle as a Rotation2d. Reference the existing drive commands in CommandFactory for the applyRequest pattern. The command should run continuously (use Commands.run()) since it needs to maintain the X-formation until interrupted. Add constants XOUT_FL_ANGLE_DEG = 45.0, XOUT_FR_ANGLE_DEG = -45.0, etc. to Constants.WoodBotConstants if you want configurable angles. Acceptance criteria: All four swerve modules rotate to within ±2° of target angles, modules maintain position without drift for 10+ seconds, robot successfully resists pushing forces from multiple directions, and AdvantageScope shows module angles holding steady at target values. Test in simulation by running the command and checking 'Drivetrain/ModuleStates' logged angles, then test on WoodBot by running the command and attempting to push the robot from different directions while monitoring module angles in AdvantageScope.",Week 3
58,Implement Indexer Proximity Sensors for Game Piece Detection,"Add digital proximity sensors to the Indexer subsystem (which will be renamed to Hopper later) to detect when game pieces are present at different stages of the collection path. This enables automatic control - the robot knows when to stop intaking, when a piece is ready to shoot, etc. Start by adding sensor port constants to Constants.WoodBotConstants: add INDEXER_ENTRY_SENSOR_PORT (DIO port number, e.g., 0) and INDEXER_EXIT_SENSOR_PORT (e.g., 1) for sensors at intake entry and shooting exit positions. Open subsystems/Indexer/IndexerIOWB.java and create DigitalInput objects: 'private final DigitalInput entrySensor = new DigitalInput(Constants.WoodBotConstants.INDEXER_ENTRY_SENSOR_PORT);'. In the updateInputs() method, read sensor values with entrySensor.get() and store in the inputs object. Open IndexerInputsAutoLogged and add boolean fields: hasPieceAtEntry and hasPieceAtExit. Digital sensors typically return false when blocked (beam broken) and true when clear, so you may need to invert with !entrySensor.get() depending on sensor type. Add @AutoLogOutput annotations in Indexer.java for visibility. For simulation, create or update IndexerIOSim.java to simulate sensor behavior - start by having sensors always return false (no piece detected) until you implement game piece simulation later. Acceptance criteria: Sensor values update at >50Hz in AdvantageScope under 'Indexer/Inputs/', sensors correctly report true when beam is blocked and false when clear, readings are stable without rapid flickering between states, and you can manually trigger state changes by placing objects in sensor beams. Test on WoodBot by running the Indexer subsystem, monitoring sensor states in AdvantageScope, and manually placing/removing game pieces while verifying state changes occur correctly and reliably.",Week 3
137,Refactor Position Commands to Finish at Tolerance,"Refactor position-controlled commands to automatically complete when mechanisms reach their target positions, rather than running indefinitely until interrupted. This makes autonomous routines and command sequences more reliable since subsequent commands will only start after positioning finishes. Start with IntakePivot and Hood subsystems. First, add tolerance tracking to subsystem inputs: open IntakePivotInputsAutoLogged (generated class) and verify it has position-related fields, then add 'double setpointDegrees' and 'boolean atSetpoint' to the @AutoLog class. In IntakePivotIOWB.java's updateInputs() method, populate these fields: inputs.setpointDegrees = pivotMotor.getClosedLoopReference().getValueAsDouble(); and inputs.atSetpoint = Math.abs(inputs.setpointDegrees - inputs.positionDegrees) < Constants.WoodBotConstants.INTAKE_PIVOT_TOLERANCE_DEG;. Add the tolerance constant to Constants.WoodBotConstants (e.g., INTAKE_PIVOT_TOLERANCE_DEG = 2.0 for ±2° accuracy). Next, update CommandFactory.java commands: find the intakePivotSetPositionCmd() method and replace the current implementation (likely using runEnd()) with Commands.run(() -> intakePivot.setPosition(targetDegrees)).until(() -> intakePivot.getInputs().atSetpoint).withTimeout(3.0). The until() method makes the command finish when the condition is true, and withTimeout() ensures it doesn't hang forever if something goes wrong. Repeat this pattern for Hood, Turret, and any other position-controlled subsystems. Acceptance criteria: Commands finish automatically within 0.5 seconds of reaching target position, atSetpoint boolean correctly reflects mechanism state in AdvantageScope, commands timeout after 3 seconds if position is unreachable, no oscillation occurs within ±tolerance around setpoints, and autonomous routines progress smoothly through multi-step sequences. Test in simulation by commanding various positions to IntakePivot, monitoring 'IntakePivot/Inputs/atSetpoint' in AdvantageScope, and verifying commands complete promptly when position error drops below tolerance.",Week 3
52,Update TalonFX Constructors to Non-Deprecated API,"Update all TalonFX motor controller constructor calls to use the non-deprecated Phoenix 6 API that requires specifying the CAN bus name. CTRE deprecated the single-parameter constructor new TalonFX(canId) in favor of new TalonFX(canId, canBusName) to explicitly declare whether motors are on the RoboRIO's built-in CAN bus or a separate CANivore device. Use VS Code's search (Ctrl+Shift+F) to find all instances of 'new TalonFX(' - these will typically be in IO implementation files like DrivetrainIOWB.java, FlywheelIOWB.java, IntakePivotIOWB.java, HoodIOWB.java, etc. For each TalonFX constructor, add a second parameter: use ""rio"" if the motor is connected to the RoboRIO's CAN bus (most common), or ""canivore"" if your team uses a CANivore CAN bus extender (check with electrical team if unsure). For example, change 'private final TalonFX motor = new TalonFX(5);' to 'private final TalonFX motor = new TalonFX(5, ""rio"");'. If you're uncertain which bus a motor uses, check the electrical wiring diagram or ask the electrical team - using the wrong bus name will cause the motor to fail initialization. Make this change for every TalonFX in the codebase. Acceptance criteria: Zero deprecation warnings appear in build output when running ./gradlew build, all TalonFX motors show as 'connected' in Phoenix Tuner diagnostic page, no DriverStation errors about missing devices during robot startup, and all subsystems with TalonFX motors (Drivetrain, Flywheel, IntakePivot, Hood) operate normally in both simulation and on WoodBot. Test by building the project, reviewing the build output for warnings, deploying to WoodBot, and running through each subsystem's basic functions while monitoring for device errors in DriverStation.",Week 3
195,Port FieldConstants from FRC 6328 RobotCode2026,"Port FRC Team 6328's FieldConstants.java class into our codebase to provide standardized definitions of the 2026 game field geometry, including AprilTag positions, scoring zones, and key field landmarks. Navigate to https://github.com/Mechanical-Advantage/RobotCode2026Public/blob/main/src/main/java/org/littletonrobotics/frc2026/FieldConstants.java in your browser and copy the entire file content. Create a new file at src/main/java/frc/robot/FieldConstants.java in our project and paste the copied code. Update the package declaration at the top from 'package org.littletonrobotics.frc2026;' to 'package frc.robot;' to match our project structure. Add a credit comment at the top: '// Adapted from FRC 6328 RobotCode2026Public repository (https://github.com/Mechanical-Advantage/RobotCode2026Public)' followed by '// Modified for RainMaker26 Team 360'. Review the constant definitions - FieldConstants typically contains Translation2d and Pose2d objects representing AprilTag locations (as per FRC field layout), scoring positions, robot starting positions, and field boundaries. The coordinates are in meters with origin at the blue alliance corner. Verify that AprilTag positions match the official 2026 field layout from FIRST (check game manual Appendix for field drawings). You may need to update coordinates if 6328's version was from early season and doesn't match the final field specs. Acceptance criteria: FieldConstants.java compiles with zero errors, package declaration is correct, credit comment is present, all Translation2d/Pose2d constants use meter units, AprilTag positions match official 2026 field layout within ±5cm, and you can explain the purpose of at least 5 major constants. Test by creating a simple command that imports FieldConstants and prints an AprilTag position to console, then visualize the field layout by adding the constants to AdvantageScope's 2D field widget to verify positions match the field diagram visually.",Week 3
89,Set Up AprilTags on Practice Field,"Install physical AprilTag markers on the practice field at official 2026 game positions to enable vision-based robot localization testing. AprilTags are QR-code-like visual markers that the Limelight camera detects to determine the robot's position on the field. Start by downloading the official 2026 AprilTag images - visit the FRC Game Manual resources page or https://firstfrc.blob.core.windows.net/frc2026/FieldAssets/ to find the tag image files (usually PDF format). Print each tag at exactly 8.5 inches × 8.5 inches (verify with a ruler after printing - printer scaling can cause size errors). Mount each printed tag on rigid backing material like foam board or cardboard to keep them flat. Reference FieldConstants.java (from issue #195) or the official field CAD drawings to find each tag's position: X and Y coordinates on the field (in meters from blue alliance corner), Z height above floor (typically 1-2 meters), and rotation angle (tags face specific directions). Use a long tape measure and carpenter's level to mount tags accurately - position X/Y within ±2 inches (5cm) and rotation within ±5 degrees is acceptable for testing, but closer is better for accurate localization. Mount tags using camera tripods, PVC pipe stands, tape on walls, or temporary brackets - they must be sturdy enough not to move when bumped. Install all 16 tags from the 2026 field layout (IDs 1-16). Acceptance criteria: All 16 AprilTags are printed at correct 8.5""×8.5""size, mounted within ±2 inches of official positions, heights are within ±3 inches of specification, tags are rigidly mounted and don't wobble or shift, tag faces are perpendicular to their specified rotation angles within ±5°, and tags are visible from at least 10 feet away at typical robot camera height. Test by driving WoodBot around the practice field with the Vision subsystem active, verifying Limelight detects each tag from multiple positions/distances, checking that detected tag IDs in AdvantageScope match the tag numbers you mounted, and comparing Vision-reported robot poses against known measured positions on the field (error should be <20cm for well-positioned tags).",Week 4
51,Audit and Correct Motor Conversion Factors for Gear Ratios,"Audit and correct motor conversion factors across all subsystems to ensure gear ratios are properly accounted for when reading positions and velocities. A gear ratio is the mechanical reduction/multiplication between a motor shaft and the final output - for example, a 10:1 ratio means the motor spins 10 times for every 1 output rotation. Without proper conversion factors, a command to move 45° might actually move the mechanism 450° (if using raw motor rotations) or 4.5° (if ratio is backwards). Start by listing all subsystems with geared motors: IntakePivot, Hood, Turret, Flywheel, Intake, etc. For each subsystem, find the gear ratio from the CAD team or Constants.java (e.g., Constants.WoodBotConstants.INTAKE_PIVOT_GEAR_RATIO). Open the IO implementation file (e.g., IntakePivotIOWB.java) and locate the TalonFX configuration code (usually in the constructor). Phoenix 6 uses TalonFXConfiguration objects with Slot0Configs and FeedbackConfigs. In FeedbackConfigs, look for setRotorToSensorRatio() or setSensorToMechanismRatio() methods - these tell Phoenix how to convert motor rotations to mechanism units. For a pivot with a 50:1 gear ratio, motor makes 50 rotations per mechanism rotation, so use setSensorToMechanismRatio(1.0/50.0) to convert motor rotations to mechanism rotations. If you want degrees instead of rotations, multiply by 360: 360.0/50.0 = 7.2 degrees per motor rotation. Update the configuration, then verify in updateInputs() that the position and velocity are read correctly: inputs.positionDegrees = motor.getPosition().getValueAsDouble() should now return degrees, not rotations. Repeat for all geared subsystems, checking Hood, Turret, Intake, IntakePivot. Acceptance criteria: All position readings appear in AdvantageScope with correct units (degrees for angular mechanisms, meters for linear, RPM for wheels), commanding a mechanism to 90° results in the actual mechanism moving to 90° (measure with a protractor), velocity readings match hand-calculated expected values (e.g., motor at 6000 RPM with 10:1 ratio should show 600 RPM mechanism speed), and conversion factors match gear ratios from CAD within 5%. Test by commanding IntakePivot to 45°, 90°, and 180° in simulation, verifying positions in AdvantageScope match commanded values, then test on WoodBot by commanding positions and physically measuring mechanism angles with a protractor or digital angle finder.",Week 3
136,Port Auto-Encoder-Zeroing Command from RainMaker25,"Create an automatic encoder zeroing command that finds a mechanism's physical hard stop by detecting motor stall, then sets that position as the encoder zero point. This eliminates manual zeroing and ensures consistent starting positions. Reference the 2025 Laurens team code at https://github.com/FRCTeam360/RainMaker25 - look in their subsystems folder for an Elevator or similar mechanism with auto-zeroing logic. The zeroing process: (1) Command the mechanism to move slowly toward its hard stop using voltage control (e.g., -2.0 volts to move toward lower limit), (2) In each execute() cycle, read motor current (motor.getStatorCurrent().getValueAsDouble()) and velocity (motor.getVelocity().getValueAsDouble()), (3) Detect stall when current exceeds a threshold (e.g., >20 amps) AND velocity is near zero (e.g., <5 RPM) for a confirmation period (e.g., 0.25 seconds using a Timer), (4) Once stall is confirmed, stop the motor and call motor.setPosition(0.0) to set current position as zero, (5) Command the mechanism to move to a safe position away from the hard stop (e.g., +10 degrees). Implement this in CommandFactory.java as zeroIntakePivotCmd(), zeroHoodCmd(), etc. Add constants to Constants.WoodBotConstants: ZERO_VOLTAGE (e.g., -2.0), ZERO_STALL_CURRENT_AMPS (e.g., 20.0), ZERO_STALL_VELOCITY_RPM (e.g., 5.0), ZERO_CONFIRMATION_TIME_SEC (e.g., 0.25). Make the command require the target subsystem so it can't run while other commands are using it. Acceptance criteria: Command detects hard stop within 3 seconds of starting, mechanism stops within 0.5 seconds of stall detection, encoder position is set to zero point within ±0.5° accuracy, command doesn't damage mechanism or strip gears, subsequent position commands work correctly relative to the zeroed position, and zeroing works in both simulation (with simulated current limits) and on WoodBot. Test in simulation first by implementing current simulation in the IO sim class, then test on WoodBot with one team member ready at the driver station E-stop and another observing the mechanism to disable if anything goes wrong.",Week 3
